,ApplStandard,N-Standard,Model_No,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration3_Sink,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,H2_COP,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,AnnualOutputEER,AnnualOutputCOP,outdoortype,Phase,Refrigerant,Type,Demand Response 1,EER,Registration Number
0,AS/NZS 3823.2:2009/Amdt 1:2010,AS/NZS 3823.1.1:1998/Amdt 3:2006,RAS-B10UFV-A & RAS-10SAVR-A,TOSHIBA,0.4,Non Ducted,Single Split System,Air,Thailand,0.6,2.0,2.4,,0.75,3.2,Calorimeter Room,4.0,4.27,True,5.22,5.22,,,3.9216,4.1829,Calorimeter Room,Single,R410A,Reverse Cycle,,4.0,ZAC0315
1,AS/NZS 3823.2:2009/Amdt 1:2010,AS/NZS 3823.1.1:1998/Amdt 3:2006,RAS-B13UFV-A & RAS-13SAVR-A2,TOSHIBA,1.05,Non Ducted,Single Split System,Air,Thailand,1.02,2.45,3.5,,1.16,4.1,Calorimeter Room,3.43,3.53,True,5.22,5.22,,,3.3542,3.4867,Calorimeter Room,Single,R410A,Reverse Cycle,,3.43,ZAC0313
2,AS/NZS 3823.2:2009/Amdt 1:2010,AS/NZS 3823.1.1:1998/Amdt 3:2006,RAS-B16UFV-A & RAS-16UAVR-A,TOSHIBA,1.0,Non Ducted,Single Split System,Air,Thailand,1.45,3.5,4.5,,1.43,5.0,Calorimeter Room,3.243,3.497,True,5.0,5.0,,,3.2043,3.4547,Calorimeter Room,Single,R410A,Reverse Cycle,,3.243,ZAC0320
3,AS/NZS 3823.2:2011/Amdt A:2013,AS/NZS 3823.1.1:2012,RAS-B18UFV-A/RAS-18SAV2-A,TOSHIBA,1.4,Non Ducted,Single Split System,Air,Thailand,1.63,3.5,4.9,0.0,1.81,5.8,Calorimeter Room,2.9896,3.2042,True,5.0,5.0,4.03015873016,5.0756302521,2.95909118376,3.17384727436,Calorimeter Room,Single,R410A,Reverse Cycle,False,2.9896,ZAC0446
4,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],AS/NZS 3823.1.2:2012,FDYQN200LB / RZQ200LY,DAIKIN,3.0,Ducted,Single Split System,Air,"Australia,Thailand",6.44,17.0,20.0,0.0,7.0,22.4,Enthalpy Test Room,3.1152,3.5835,True,33.0,33.0,3.74135446686,0.0,3.06231486527,3.52425454448,Enthalpy Test Room,Three,R410A,Reverse Cycle,False,3.1152,AAC1601
5,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:1998/Amdt 3:2006,YZHJZH009BAMAAFX,York,0.02,Non Ducted,Single Split System,Air,China,0.65,2.48,2.5,0.0,0.59,2.5,Calorimeter Room,3.8266,4.113,True,3.6,3.6,0.0,0.0,3.75516738018,4.02906563251,Calorimeter Room,Single,R410A,Reverse Cycle,False,3.8266,AAC0428
6,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:1998/Amdt 3:2006,YZHJZH012BAMAAFX,York,0.04,Non Ducted,Single Split System,Air,China,0.84,3.16,3.2,0.0,0.86,3.3,Calorimeter Room,3.8108,3.8049,True,3.6,3.6,0.0,0.0,3.75604366548,3.75185531307,Calorimeter Room,Single,R410A,Reverse Cycle,False,3.8108,AAC0427
7,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:1998/Amdt 3:2006,YZHJZH018BAMAAFX,York,0.2,Non Ducted,Single Split System,Air,China,1.48,4.8,5.0,0.0,1.54,5.2,Calorimeter Room,3.3215,3.321,True,3.6,3.6,0.0,0.0,3.29398138078,3.29501057801,Calorimeter Room,Single,R410A,Reverse Cycle,False,3.3215,AAC0426
8,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:2012,YZHJZH024BAMAAFX,York,0.5,Non Ducted,Single Split System,Air,China,1.815,6.35,6.85,0.0,1.815,6.9,Calorimeter Room,3.8315,3.8061,True,1.0,1.0,0.0,0.0,3.82385049713,3.79880377481,Calorimeter Room,Single,R410A,Reverse Cycle,False,3.8315,AAC0473
9,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:1998/Amdt 3:2006,YZHFZH009BAMAAFX,York,0.02,Non Ducted,Single Split System,Air,China,0.72,2.68,2.7,0.0,0.7,2.7,Calorimeter Room,3.6979,3.9839,False,2.0,2.0,0.0,0.0,3.66474110976,3.94493022178,Calorimeter Room,Single,R410A,Reverse Cycle,False,3.6979,AAC0425
10,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:1998/Amdt 3:2006,YZHFZH012BAMAAFX,York,0.03,Non Ducted,Single Split System,Air,China,0.86,3.27,3.3,0.0,0.86,3.3,Calorimeter Room,3.7283,3.7886,False,3.6,3.6,0.0,0.0,3.67784440727,3.73660907517,Calorimeter Room,Single,R410A,Reverse Cycle,False,3.7283,AAC0424
11,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:1998/Amdt 3:2006,YZHFZH018BAMAAFX,York,0.6,Non Ducted,Single Split System,Air,China,1.5,4.4,5.0,0.0,1.5,5.0,Calorimeter Room,3.3294,3.2961,False,3.6,3.6,0.0,0.0,3.30308322418,3.26980371998,Calorimeter Room,Single,R410A,Reverse Cycle,False,3.3294,AAC0423
12,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:1998/Amdt 3:2006,YZHFZH024BAMAAFX,York,0.1,Non Ducted,Single Split System,Air,China,2.1,6.9,7.0,0.0,2.1,7.0,Calorimeter Room,3.2995,3.3826,False,9.0,9.0,0.0,0.0,3.25350161895,3.33424124879,Calorimeter Room,Single,R410A,Reverse Cycle,False,3.2995,AAC0422
13,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.2:2012,CRV2-14AS / ERM2-14AS,ACTRON AIR,1.788,Ducted,Single Split System,Air,Australia,3.79,10.713,12.501,0.0,3.64,14.0,Enthalpy Test Room,3.2472,3.7841,True,43.58,42.05,0.0,0.0,3.12511136496,3.64174965969,Enthalpy Test Room,Single,R410A,Reverse Cycle,True,3.2472,AAC0418
14,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.2:2012,CRV2-14AS / ERV2-14AS,ACTRON AIR,1.788,Ducted,Single Split System,Air,Australia,3.79,10.713,12.501,0.0,3.64,14.0,Enthalpy Test Room,3.2472,3.7841,True,43.58,42.05,0.0,0.0,3.12511136496,3.64174965969,Enthalpy Test Room,Single,R410A,Reverse Cycle,True,3.2472,AAC0418
15,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.2:2012,CRV3-17AS / ERM3-17AS,ACTRON AIR,1.54,Ducted,Single Split System,Air,Australia,4.17,12.46,14.0,0.0,4.72,17.0,Enthalpy Test Room,3.281,3.5292,True,43.58,42.05,0.0,0.0,3.1693733642,3.42643123394,Enthalpy Test Room,Single,R410A,Reverse Cycle,True,3.281,AAC0415
16,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.2:2012,CRV3-17AS / ERV3-17AS,ACTRON AIR,1.54,Ducted,Single Split System,Air,Australia,4.17,12.46,14.0,0.0,4.72,17.0,Enthalpy Test Room,3.281,3.5292,True,43.58,42.05,0.0,0.0,3.1693733642,3.42643123394,Enthalpy Test Room,Single,R410A,Reverse Cycle,True,3.281,AAC0415
17,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.2:2012,CRV4-19AS / ARV4-19AS & FRV4-19AS,ACTRON AIR,1.989,Ducted,Single Split System,Air,Australia,5.1,15.011,17.0,0.0,5.14,19.0,Enthalpy Test Room,3.2611,3.6133,True,43.58,42.05,0.0,0.0,3.16944245363,3.51609203862,Enthalpy Test Room,Single,R410A,Reverse Cycle,True,3.2611,AAC0414
18,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.2:2012,CRV4-19AS / ERM4-19AS,ACTRON AIR,1.989,Ducted,Single Split System,Air,Australia,5.1,15.011,17.0,0.0,5.14,19.0,Enthalpy Test Room,3.2611,3.6133,True,43.58,42.05,0.0,0.0,3.16944245363,3.51609203862,Enthalpy Test Room,Single,R410A,Reverse Cycle,True,3.2611,AAC0414
19,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.2:2012,CRV4-19AS / ERV4-19AS,ACTRON AIR,1.989,Ducted,Single Split System,Air,Australia,5.1,15.011,17.0,0.0,5.14,19.0,Enthalpy Test Room,3.2611,3.6133,True,43.58,42.05,0.0,0.0,3.16944245363,3.51609203862,Enthalpy Test Room,Single,R410A,Reverse Cycle,True,3.2611,AAC0414
20,Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,AS/NZS 3823.1.1:1998/Amdt 3:2006,SRK92ZMA-S / SRC92ZMA-S,"MITSUBISHI HEAVY INDUSTRIES, LTD.",2.49,Non Ducted,Single Split System,Air,Thailand,2.54,6.71,9.2,2.77669328601,2.84,10.0,Calorimeter Room,3.6136,3.499,True,4.0,4.0,0.0,0.0,3.59470799529,3.48279963904,Calorimeter Room,Single,R410A,Reverse Cycle,True,3.6136,AAC0413
