ApplStandard,MEPSComp,N-Standard,Model_No,Family Name,avg_pwr_standby_mode,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration2-unitmount,Configuration3_Sink,Configuration3_Source,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,Depth,H2_COP,H2_HeatPwrCapacity,H2_HeatPwrInput,Height,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Setting_cool,Setting_heat,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,eermepslev,TestedOutputEER,TestedOutputCOP,AnnualOutputEER,AnnualOutputCOP,PL_EERMEPS,PL_COPMEPS,sri2010_cool,sri2010_heat,Star2010_Cool,Star2010_Heat,outdoortype,Phase,Refrigerant,Sold_in,Submit_ID,ExpDate,GrandDate,SubmitStatus,Type,Width,Product Class,Demand Response 1,Demand Response 2,Demand Response 4,Demand Response 5,Demand Response 6,Demand Response 7,PartNumber,EER,Availability Status,star2000_cool,star2000_heat,Variable Output Compressor,Registration Number
AS/NZS 3823.2:2009/Amdt 1:2010,2010,AS/NZS 3823.1.1:1998/Amdt 3:2006,RAS-B10UFV-A & RAS-10SAVR-A,,,TOSHIBA,0.4,Non Ducted,Single Split System,Floor Mounted,Air,Air,Thailand,0.6,2,2.4,220,,,,600,0.75,3.2,Calorimeter Room,4,4.27,TRUE,100,,5.22,5.22,,,,,,3.9216,4.1829,,,3.3432,3.8658,3,3.5,Calorimeter Room,Single,R410A,New Zealand,51289,,2011/3/31,Superseded,Reverse Cycle,700,Class 3,,,,,,,,4,Unavailable,,,TRUE,ZAC0315
AS/NZS 3823.2:2009/Amdt 1:2010,2010,AS/NZS 3823.1.1:1998/Amdt 3:2006,RAS-B13UFV-A & RAS-13SAVR-A2,,,TOSHIBA,1.05,Non Ducted,Single Split System,Floor Mounted,Air,Air,Thailand,1.02,2.45,3.5,220,,,,600,1.16,4.1,Calorimeter Room,3.43,3.53,TRUE,100,,5.22,5.22,,,,,,3.3542,3.4867,,,2.2084,2.4734,2,2,Calorimeter Room,Single,R410A,New Zealand,51303,,2011/3/31,Superseded,Reverse Cycle,700,Class 3,,,,,,,,3.43,Unavailable,,,TRUE,ZAC0313
AS/NZS 3823.2:2009/Amdt 1:2010,2010,AS/NZS 3823.1.1:1998/Amdt 3:2006,RAS-B16UFV-A & RAS-16UAVR-A,,,TOSHIBA,1,Non Ducted,Single Split System,Floor Mounted,Air,Air,Thailand,1.45,3.5,4.5,220,,,,600,1.43,5,Calorimeter Room,3.243,3.497,TRUE,100,,5,5,,,,,,3.2043,3.4547,,,1.9086,2.4094,1.5,2,Calorimeter Room,Single,R410A,New Zealand,52329,,2011/3/31,Superseded,Reverse Cycle,700,Class 4,,,,,,,,3.243,Unavailable,,,TRUE,ZAC0320
AS/NZS 3823.2:2011/Amdt A:2013,NZ MEPS April 2013,AS/NZS 3823.1.1:2012,RAS-B18UFV-A/RAS-18SAV2-A,,,TOSHIBA,1.4,Non Ducted,Single Split System,Floor Mounted,Air,Air,Thailand,1.63,3.5,4.9,220,0,,,600,1.81,5.8,Calorimeter Room,2.9896,3.2042,TRUE,84.2,,5,5,4.03015873,5.075630252,,,,2.959091184,3.173847274,,,1.4182,1.8477,1,1.5,Calorimeter Room,Single,R410A,"Fiji,New Zealand",72764,2113/6/21,,Approved,Reverse Cycle,700,Class 4,FALSE,,FALSE,,,,,2.9896,Available,,,TRUE,ZAC0446
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,FDYQN200LB / RZQ200LY,,,DAIKIN,3,Ducted,Single Split System,,Air,Air,"Australia,Thailand",6.44,17,20,1430,0,,,500,7,22.4,Enthalpy Test Room,3.1152,3.5835,TRUE,92,,33,33,3.741354467,0,,,,3.062314865,3.524254544,,,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,Fiji,New Zealand",73041,2020/6/23,,Approved,Reverse Cycle,970,Class 11,FALSE,,TRUE,,,,KRP58M51,3.1152,Available,,,TRUE,AAC1601
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,YZHJZH009BAMAAFX,,,York,0.02,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.65,2.48,2.5,280,0,,,185,0.59,2.5,Calorimeter Room,3.8266,4.113,TRUE,,,3.6,3.6,0,0,,,,3.75516738,4.029065633,,,3.0103,3.5581,3,3.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",73110,2018/9/10,,Approved,Reverse Cycle,800,Class 3,FALSE,,FALSE,,,,,3.8266,Available,,,TRUE,AAC0428
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,YZHJZH012BAMAAFX,,,York,0.04,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.84,3.16,3.2,280,0,,,200,0.86,3.3,Calorimeter Room,3.8108,3.8049,TRUE,,,3.6,3.6,0,0,,,,3.756043665,3.751855313,,,3.0121,3.0037,3,3,Calorimeter Room,Single,R410A,"Australia,New Zealand",73111,2018/9/10,,Approved,Reverse Cycle,898,Class 3,FALSE,,FALSE,,,,,3.8108,Available,,,TRUE,AAC0427
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,YZHJZH018BAMAAFX,,,York,0.2,Non Ducted,Single Split System,Wall Hung,Air,Air,China,1.48,4.8,5,313,0,,,202,1.54,5.2,Calorimeter Room,3.3215,3.321,TRUE,,,3.6,3.6,0,0,,,,3.293981381,3.295010578,,,2.088,2.09,2,2,Calorimeter Room,Single,R410A,"Australia,New Zealand",73112,2018/9/10,,Approved,Reverse Cycle,1033,Class 4,FALSE,,FALSE,,,,,3.3215,Available,,,TRUE,AAC0426
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:2012,YZHJZH024BAMAAFX,,,York,0.5,Non Ducted,Single Split System,Wall Hung,Air,Air,China,1.815,6.35,6.85,325,0,,,250,1.815,6.9,Calorimeter Room,3.8315,3.8061,TRUE,,,1,1,0,0,,,,3.823850497,3.798803775,,,3.1477,3.0976,3,3,Calorimeter Room,Single,R410A,"Australia,New Zealand",73113,2018/9/26,,Approved,Reverse Cycle,1240,Class 4,FALSE,,FALSE,,,,,3.8315,Available,,,TRUE,AAC0473
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,YZHFZH009BAMAAFX,,,York,0.02,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.72,2.68,2.7,280,0,,,200,0.7,2.7,Calorimeter Room,3.6979,3.9839,FALSE,,,2,2,0,0,,,,3.66474111,3.944930222,,,2.8295,3.3899,2.5,3,Calorimeter Room,Single,R410A,"Australia,New Zealand",73114,2018/9/10,,Archived,Reverse Cycle,800,Class 3,FALSE,,FALSE,,,,,3.6979,Available,,,FALSE,AAC0425
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,YZHFZH012BAMAAFX,,,York,0.03,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.86,3.27,3.3,280,0,,,200,0.86,3.3,Calorimeter Room,3.7283,3.7886,FALSE,,,3.6,3.6,0,0,,,,3.677844407,3.736609075,,,2.8557,2.9732,2.5,2.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",73115,2018/9/10,,Archived,Reverse Cycle,898,Class 3,FALSE,,FALSE,,,,,3.7283,Available,,,FALSE,AAC0424
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,YZHFZH018BAMAAFX,,,York,0.6,Non Ducted,Single Split System,Wall Hung,Air,Air,China,1.5,4.4,5,313,0,,,202,1.5,5,Calorimeter Room,3.3294,3.2961,FALSE,,,3.6,3.6,0,0,,,,3.303083224,3.26980372,,,2.1062,2.0396,2,2,Calorimeter Room,Single,R410A,"Australia,New Zealand",73116,2018/9/10,,Archived,Reverse Cycle,1033,Class 4,FALSE,,FALSE,,,,,3.3294,Available,,,FALSE,AAC0423
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,YZHFZH024BAMAAFX,,,York,0.1,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2.1,6.9,7,325,0,,,250,2.1,7,Calorimeter Room,3.2995,3.3826,FALSE,,,9,9,0,0,,,,3.253501619,3.334241249,,,2.007,2.1685,2,2,Calorimeter Room,Single,R410A,"Australia,New Zealand",73117,2018/9/10,,Archived,Reverse Cycle,1240,Class 4,FALSE,,FALSE,,,,,3.2995,Available,,,FALSE,AAC0422
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.2:2012,CRV2-14AS / ERM2-14AS,CRV2-14AS / ERV2-14AS,,ACTRON AIR,1.788,Ducted,Single Split System,,Air,Air,Australia,3.79,10.713,12.501,,0,,,,3.64,14,Enthalpy Test Room,3.2472,3.7841,TRUE,100,,43.58,42.05,0,0,,,,3.125111365,3.64174966,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",73613,2018/9/6,,Archived,Reverse Cycle,,Class 7,TRUE,,TRUE,TRUE,TRUE,TRUE,2020-070,3.2472,Unavailable,,,TRUE,AAC0418
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.2:2012,CRV2-14AS / ERV2-14AS,CRV2-14AS / ERV2-14AS,,ACTRON AIR,1.788,Ducted,Single Split System,,Air,Air,Australia,3.79,10.713,12.501,,0,,,,3.64,14,Enthalpy Test Room,3.2472,3.7841,TRUE,100,,43.58,42.05,0,0,,,,3.125111365,3.64174966,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",73613,2018/9/6,,Archived,Reverse Cycle,,Class 7,TRUE,,TRUE,TRUE,TRUE,TRUE,2020-070,3.2472,Unavailable,,,TRUE,AAC0418
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.2:2012,CRV3-17AS / ERM3-17AS,CRV3-17AS / ERV3-17AS,,ACTRON AIR,1.54,Ducted,Single Split System,,Air,Air,Australia,4.17,12.46,14,,0,,,,4.72,17,Enthalpy Test Room,3.281,3.5292,TRUE,100,,43.58,42.05,0,0,,,,3.169373364,3.426431234,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",73974,2018/9/6,,Archived,Reverse Cycle,,Class 7,TRUE,,TRUE,TRUE,TRUE,TRUE,2020-070,3.281,Unavailable,,,TRUE,AAC0415
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.2:2012,CRV3-17AS / ERV3-17AS,CRV3-17AS / ERV3-17AS,,ACTRON AIR,1.54,Ducted,Single Split System,,Air,Air,Australia,4.17,12.46,14,,0,,,,4.72,17,Enthalpy Test Room,3.281,3.5292,TRUE,100,,43.58,42.05,0,0,,,,3.169373364,3.426431234,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",73974,2018/9/6,,Archived,Reverse Cycle,,Class 7,TRUE,,TRUE,TRUE,TRUE,TRUE,2020-070,3.281,Unavailable,,,TRUE,AAC0415
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.2:2012,CRV4-19AS / ARV4-19AS & FRV4-19AS,CRV4-19AS / ERV4-19AS,,ACTRON AIR,1.989,Ducted,Single Split System,,Air,Air,Australia,5.1,15.011,17,,0,,,,5.14,19,Enthalpy Test Room,3.2611,3.6133,TRUE,100,,43.58,42.05,0,0,,,,3.169442454,3.516092039,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",73975,2018/9/6,,Archived,Reverse Cycle,,Class 7,TRUE,,TRUE,TRUE,TRUE,TRUE,2020-070,3.2611,Unavailable,,,TRUE,AAC0414
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.2:2012,CRV4-19AS / ERM4-19AS,CRV4-19AS / ERV4-19AS,,ACTRON AIR,1.989,Ducted,Single Split System,,Air,Air,Australia,5.1,15.011,17,,0,,,,5.14,19,Enthalpy Test Room,3.2611,3.6133,TRUE,100,,43.58,42.05,0,0,,,,3.169442454,3.516092039,,,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",73975,2018/9/6,,Archived,Reverse Cycle,,Class 7,TRUE,,TRUE,TRUE,TRUE,TRUE,2020-070,3.2611,Unavailable,,,TRUE,AAC0414
